ARTICULO;IMAGEN;PESO;IVA;PRECIOCANO;TIPCANON;COMPRA;VENTA;FAMILIA;MARCA;DENOMINA;URL;STOCK;PARTNUMBER;CODIGOBAR;DESCEXTRTF;EAN;CATEGORIA_ID;SUBCATEGORIA_ID;SUBCATEGORIADEPRODUCTO;CODIGO_MAYORISTA;CODIGO_FABRICANTE;VOLUMEN;SHORTDESC;LONGDESC;HighPic;LowPic;ThumbPic
LB24296011;https://www.dmi.es/photo/827/11566/1772704217727042/th/adaptador-de-corriente-para-portatil-woxter-90-a-slim-automatico.jpg;0.50;21;0.00;;20.88;;"Accesorios portátiles";Woxter;"ADAPTADOR DE CORRIENTE PARA PORTATIL WOXTER 90 A SLIM AUTOMÁTICO";https://www.dmi.es/ficha/LB24296011;65.00;PE26-079;;"Alimentador de red universal 90W, 13 Conectores, Salida DC: 12~22V";8435089017120;999998;827;"Cargadores, Adaptadores e Inversores de Corriente";LB24296011;PE26-079;2080.00;"Alimentador de red universal 90W, 13 Conectores, Salida DC: 12~22V";;https://www.dmi.es/photo/827/11566/1772704217727042/bg/adaptador-de-corriente-para-portatil-woxter-90-a-slim-automatico.jpg;https://www.dmi.es/photo/827/11566/1772704217727042/pq/adaptador-de-corriente-para-portatil-woxter-90-a-slim-automatico.jpg;https://www.dmi.es/photo/827/11566/1772704217727042/pq/adaptador-de-corriente-para-portatil-woxter-90-a-slim-automatico.jpg
CN43296007;https://www.dmi.es/photo/858/11568/94786919478691/th/lector-dni-combo-woxter-negro.jpg;0.10;21;0.00;;9.85;;Lectores;Woxter;"LECTOR DNI COMBO WOXTER NEGRO";https://www.dmi.es/ficha/CN43296007;24.00;PE26-025;;"Smart Cards, SD, MMC, MS Pro, xD, USB 2.0";8435089009972;999985;858;"Lector de Tarjetas";CN43296007;PE26-025;2070.00;"Smart Cards, SD, MMC, MS Pro, xD, USB 2.0";;https://www.dmi.es/photo/858/11568/94786919478691/bg/lector-dni-combo-woxter-negro.jpg;https://www.dmi.es/photo/858/11568/94786919478691/pq/lector-dni-combo-woxter-negro.jpg;https://www.dmi.es/photo/858/11568/94786919478691/pq/lector-dni-combo-woxter-negro.jpg
CN43296008;https://www.dmi.es/photo/1754/11569/2045888620458886/th/lector-dni-electronico-woxter-negro.jpg;0.10;21;0.00;;7.38;;Lectores;Woxter;"LECTOR DNI ELECTRÓNICO WOXTER NEGRO";https://www.dmi.es/ficha/CN43296008;100.00;PE26-003;;"USB 2.0, DNI 3.0, Negro";8435089008814;999985;1754;"Lector de tarjeta inteligente";CN43296008;PE26-003;1955.00;"USB 2.0, DNI 3.0, Negro";;https://www.dmi.es/photo/1754/11569/2045888620458886/bg/lector-dni-electronico-woxter-negro.jpg;https://www.dmi.es/photo/1754/11569/2045888620458886/pq/lector-dni-electronico-woxter-negro.jpg;https://www.dmi.es/photo/1754/11569/2045888620458886/pq/lector-dni-electronico-woxter-negro.jpg
GA00296037;https://www.dmi.es/photo/194/11571/3709422537094225/th/teclado-gaming-woxter-fx-80-rojo-y-negro.jpg;2.00;21;0.00;;15.31;;Periféricos;Woxter;"TECLADO GAMING WOXTER FX 80 ROJO Y NEGRO";https://www.dmi.es/ficha/GA00296037;42.00;GM26-001;;"114 teclas, USB, retroiluminadas, 1.5m, negro/rojo";8435089023176;999996;194;Teclados;GA00296037;GM26-001;6120.00;"114 teclas, USB, retroiluminadas, 1.5m, negro/rojo";;https://www.dmi.es/photo/194/11571/3709422537094225/bg/teclado-gaming-woxter-fx-80-rojo-y-negro.jpg;https://www.dmi.es/photo/194/11571/3709422537094225/pq/teclado-gaming-woxter-fx-80-rojo-y-negro.jpg;https://www.dmi.es/photo/194/11571/3709422537094225/pq/teclado-gaming-woxter-fx-80-rojo-y-negro.jpg
GA01296091;https://www.dmi.es/photo/195/11572/2692313926923139/th/combo-raton-gaming-y-alfombrilla-precision-woxter-fx80-m.jpg;0.50;21;0.00;;13.92;;Periféricos;Woxter;"COMBO RATÓN GAMING Y ALFOMBRILLA PRECISIÓN WOXTER FX80 M";https://www.dmi.es/ficha/GA01296091;38.00;GM26-002;;"USB 2.0, 800-2000dpi, 1.5m";8435089023183;999996;195;Ratones;GA01296091;GM26-002;4455.00;"USB 2.0, 800-2000dpi, 1.5m";;https://www.dmi.es/photo/195/11572/2692313926923139/bg/combo-raton-gaming-y-alfombrilla-precision-woxter-fx80-m.jpg;https://www.dmi.es/photo/195/11572/2692313926923139/pq/combo-raton-gaming-y-alfombrilla-precision-woxter-fx80-m.jpg;https://www.dmi.es/photo/195/11572/2692313926923139/pq/combo-raton-gaming-y-alfombrilla-precision-woxter-fx80-m.jpg
GA30296019;https://www.dmi.es/photo/194/11573/2692313726923137/th/combo-gaming-teclado-raton-y-auricular-woxter-fx-80-megakit.jpg;2.00;21;0.00;;34.81;;Periféricos;Woxter;"COMBO GAMING TECLADO RATÓN Y AURICULAR WOXTER FX 80 MEGAKIT";https://www.dmi.es/ficha/GA30296019;4.00;GM26-004;;"Stinger FX 80 K, USB, 1.5m + Stinger FX 80 M, USB 2.0, 800-2000dpi, 1.5m + Stinger FX 80 H, 20-20000Hz, 32Ohm, 1.8m";8435089023206;999996;194;Teclados;GA30296019;GM26-004;25228.00;"Stinger FX 80 K, USB, 1.5m + Stinger FX 80 M, USB 2.0, 800-2000dpi, 1.5m + Stinger FX 80 H, 20-20000Hz, 32Ohm, 1.8m";;https://www.dmi.es/photo/194/11573/2692313726923137/bg/combo-gaming-teclado-raton-y-auricular-woxter-fx-80-megakit.jpg;https://www.dmi.es/photo/194/11573/2692313726923137/pq/combo-gaming-teclado-raton-y-auricular-woxter-fx-80-megakit.jpg;https://www.dmi.es/photo/194/11573/2692313726923137/pq/combo-gaming-teclado-raton-y-auricular-woxter-fx-80-megakit.jpg
GA90296059;https://www.dmi.es/photo/4554/11579/3439189134391891/th/silla-gaming-woxter-stinger-station-azul.jpg;19.00;21;0.00;;118.37;;Gaming;Woxter;"SILLA GAMING WOXTER STINGER STATION AZUL";https://www.dmi.es/ficha/GA90296059;0.00;GM26-026;;"Stinger, 150kg, Azul";8435089026788;999956;4554;"Sillas Gaming";GA90296059;GM26-026;194040.00;"Stinger, 150kg, Azul";;https://www.dmi.es/photo/4554/11579/3439189134391891/bg/silla-gaming-woxter-stinger-station-azul.jpg;https://www.dmi.es/photo/4554/11579/3439189134391891/pq/silla-gaming-woxter-stinger-station-azul.jpg;https://www.dmi.es/photo/4554/11579/3439189134391891/pq/silla-gaming-woxter-stinger-station-azul.jpg
GA90296060;https://www.dmi.es/photo/4554/11580/3439189034391890/th/silla-gaming-woxter-stinger-station-naranja.jpg;15.00;21;0.00;;118.37;;Gaming;Woxter;"SILLA GAMING WOXTER STINGER STATION NARANJA";https://www.dmi.es/ficha/GA90296060;21.00;GM26-027;;"Stinger, 150kg, Naranja";8435089026795;999956;4554;"Sillas Gaming";GA90296060;GM26-027;202608.00;"Stinger, 150kg, Naranja";;https://www.dmi.es/photo/4554/11580/3439189034391890/bg/silla-gaming-woxter-stinger-station-naranja.jpg;https://www.dmi.es/photo/4554/11580/3439189034391890/pq/silla-gaming-woxter-stinger-station-naranja.jpg;https://www.dmi.es/photo/4554/11580/3439189034391890/pq/silla-gaming-woxter-stinger-station-naranja.jpg
GA90296061;https://www.dmi.es/photo/4554/11581/3439189234391892/th/silla-gaming-woxter-stinger-station-rojo.jpg;15.00;21;0.00;;118.37;;Gaming;Woxter;"SILLA GAMING WOXTER STINGER STATION ROJO";https://www.dmi.es/ficha/GA90296061;0.00;GM26-025;;"Stinger, 150kg, Rojo";8435089026771;999956;4554;"Sillas Gaming";GA90296061;GM26-025;196980.00;"Stinger, 150kg, Rojo";;https://www.dmi.es/photo/4554/11581/3439189234391892/bg/silla-gaming-woxter-stinger-station-rojo.jpg;https://www.dmi.es/photo/4554/11581/3439189234391892/pq/silla-gaming-woxter-stinger-station-rojo.jpg;https://www.dmi.es/photo/4554/11581/3439189234391892/pq/silla-gaming-woxter-stinger-station-rojo.jpg
LB12296110;https://www.dmi.es/photo/817/11582/2259674822596748/th/sai-ups-woxter-650-va-sailed-alarma.jpg;5.00;21;0.00;;41.78;;Electricidad;Woxter;"SAI UPS WOXTER 650 VA SAILED ALARMA";https://www.dmi.es/ficha/LB12296110;9.00;PE26-062;;"650VA/360W, Alarma acústica, 8-15min, Negro";8435089015294;999959;817;"SAI (UPS)";LB12296110;PE26-062;13566.00;"650VA/360W, Alarma acústica, 8-15min, Negro";;https://www.dmi.es/photo/817/11582/2259674822596748/bg/sai-ups-woxter-650-va-sailed-alarma.jpg;https://www.dmi.es/photo/817/11582/2259674822596748/pq/sai-ups-woxter-650-va-sailed-alarma.jpg;https://www.dmi.es/photo/817/11582/2259674822596748/pq/sai-ups-woxter-650-va-sailed-alarma.jpg
LB12296111;https://www.dmi.es/photo/817/11583/1471639714716397/th/sai-ups-woxter-800-va-sailed-alarma.jpg;0.00;21;0.00;;48.73;;Electricidad;Woxter;"SAI UPS WOXTER 800 VA SAILED ALARMA";https://www.dmi.es/ficha/LB12296111;0.00;PE26-063;;"UPS 800 VA - 480W, 12V, Negro";8435089015300;999959;817;"SAI (UPS)";LB12296111;PE26-063;0.00;"UPS 800 VA - 480W, 12V, Negro";;https://www.dmi.es/photo/817/11583/1471639714716397/bg/sai-ups-woxter-800-va-sailed-alarma.jpg;https://www.dmi.es/photo/817/11583/1471639714716397/pq/sai-ups-woxter-800-va-sailed-alarma.jpg;https://www.dmi.es/photo/817/11583/1471639714716397/pq/sai-ups-woxter-800-va-sailed-alarma.jpg
LB12296112;https://www.dmi.es/photo/817/11584/3631825736318257/th/sai-ups-woxter-1200-va-sailed-alarma.jpg;5.00;21;0.00;;83.56;;Electricidad;Woxter;"SAI UPS WOXTER 1200 VA SAILED ALARMA";https://www.dmi.es/ficha/LB12296112;6.00;PE26-081;;"Línea Interactiva 1200VA/720W, LED, AVR, 2x 12V 7Ah, Fuse, 10.5kg, Metálica, Negro";8435089017731;999959;817;"SAI (UPS)";LB12296112;PE26-081;19950.00;"Línea Interactiva 1200VA/720W, LED, AVR, 2x 12V 7Ah, Fuse, 10.5kg, Metálica, Negro";;https://www.dmi.es/photo/817/11584/3631825736318257/bg/sai-ups-woxter-1200-va-sailed-alarma.jpg;https://www.dmi.es/photo/817/11584/3631825736318257/pq/sai-ups-woxter-1200-va-sailed-alarma.jpg;https://www.dmi.es/photo/817/11584/3631825736318257/pq/sai-ups-woxter-1200-va-sailed-alarma.jpg
CM30296002;https://www.dmi.es/photo/2287/11586/3441252334412523/th/camara-deportiva-digital-woxter-k4-rosa-con-accesorios-y-soportes.jpg;0.40;21;0.00;;41.06;;Vídeo;Woxter;"CÁMARA DEPORTIVA DIGITAL WOXTER K4 ROSA CON ACCESORIOS Y SOPORTES";https://www.dmi.es/ficha/CM30296002;2.00;WC26-023;;"4K/25fps (3840x2160), 5.08 cm (2 "") HD (220x176), micro SD, H.264/MOV, HDMI, USB 2.0, 1050mAh, Rosa";8435089026900;999980;2287;"Cámara para Deportes de Acción";CM30296002;WC26-023;2400.00;"4K/25fps (3840x2160), 5.08 cm (2 "") HD (220x176), micro SD, H.264/MOV, HDMI, USB 2.0, 1050mAh, Rosa";;https://www.dmi.es/photo/2287/11586/3441252334412523/bg/camara-deportiva-digital-woxter-k4-rosa-con-accesorios-y-soportes.jpg;https://www.dmi.es/photo/2287/11586/3441252334412523/pq/camara-deportiva-digital-woxter-k4-rosa-con-accesorios-y-soportes.jpg;https://www.dmi.es/photo/2287/11586/3441252334412523/pq/camara-deportiva-digital-woxter-k4-rosa-con-accesorios-y-soportes.jpg
IM96264021;https://www.dmi.es/photo/3220/11596/3524322335243223/th/lapiz-3d-xyz-+-filamento-pla.jpg;1.00;21;0.00;;50.31;;;XYZprinting;"LAPIZ 3D XYZ + FILAMENTO PLA";https://www.dmi.es/ficha/IM96264021;61.00;3N10XXEU00G+F;;"lápiz 3D da Vinci, 0.8mm, 1.75mm, 70g + 6 Colores con Filamentos de 12m";4713120934389;0;3220;"Lápices 3D";IM96264021;3N10XXEU00G+F;5106.00;"lápiz 3D da Vinci, 0.8mm, 1.75mm, 70g + 6 Colores con Filamentos de 12m";;https://www.dmi.es/photo/3220/11596/3524322335243223/bg/lapiz-3d-xyz-+-filamento-pla.jpg;https://www.dmi.es/photo/3220/11596/3524322335243223/pq/lapiz-3d-xyz-+-filamento-pla.jpg;https://www.dmi.es/photo/3220/11596/3524322335243223/pq/lapiz-3d-xyz-+-filamento-pla.jpg
PT91240030;https://www.dmi.es/photo/1285/11598/2462932024629320/th/maletin-golla-air-handle-sleeve-16-.jpg;0.20;21;0.00;;14.91;;"Accesorios portátiles";Golla;"MALETIN GOLLA AIR HANDLE SLEEVE 16""";https://www.dmi.es/ficha/PT91240030;100.00;G1671;;;6419334106540;999998;1285;"Maletines para Portátiles";PT91240030;G1671;3480.00;;;https://www.dmi.es/photo/1285/11598/2462932024629320/bg/maletin-golla-air-handle-sleeve-16-.jpg;https://www.dmi.es/photo/1285/11598/2462932024629320/pq/maletin-golla-air-handle-sleeve-16-.jpg;https://www.dmi.es/photo/1285/11598/2462932024629320/pq/maletin-golla-air-handle-sleeve-16-.jpg
CN90206025;https://www.dmi.es/photo/2778/11603/3286608432866084/th/cargador-port-con-powerbank-2000-mah-integrado.jpg;0.10;21;0.00;;13.81;;"Accesorios telefonía";"Port Designs";"CARGADOR PORT CON POWERBANK 2000 MAH INTEGRADO";https://www.dmi.es/ficha/CN90206025;27.00;900027;;;3567049000271;999953;2778;Powerbanks;CN90206025;900027;640.00;;;https://www.dmi.es/photo/2778/11603/3286608432866084/bg/cargador-port-con-powerbank-2000-mah-integrado.jpg;https://www.dmi.es/photo/2778/11603/3286608432866084/pq/cargador-port-con-powerbank-2000-mah-integrado.jpg;https://www.dmi.es/photo/2778/11603/3286608432866084/pq/cargador-port-con-powerbank-2000-mah-integrado.jpg
AM20206009;https://www.dmi.es/photo/1399/11604/3286608032866080/th/cargador-port-con-cable-lightning-y-microusb.jpg;0.20;21;0.00;;18.32;;"Accesorios telefonía";"Port Designs";"CARGADOR PORT CON CABLE LIGHTNING Y MICROUSB";https://www.dmi.es/ficha/AM20206009;1.00;900019;;;3567049000196;999953;1399;Cargadores;AM20206009;900019;560.00;;;https://www.dmi.es/photo/1399/11604/3286608032866080/bg/cargador-port-con-cable-lightning-y-microusb.jpg;https://www.dmi.es/photo/1399/11604/3286608032866080/pq/cargador-port-con-cable-lightning-y-microusb.jpg;https://www.dmi.es/photo/1399/11604/3286608032866080/pq/cargador-port-con-cable-lightning-y-microusb.jpg
HD33206092;https://www.dmi.es/photo/862/11607/3286612432866124/th/carcasa-disco-duro-port-sata-usb-3-0-2-5--.jpg;0.20;21;0.00;;10.62;;"Discos duros internos";"Port Designs";"CARCASA DISCO DURO PORT SATA USB 3.0 2.5''";https://www.dmi.es/ficha/HD33206092;10.00;900030;;"SATA 2.12.7 cm (5"") , USB 3.0, 5Gb/s, 76g, Negro";3567049000301;999952;862;"Carcasas HDD";HD33206092;900030;748.00;"SATA 2.12.7 cm (5"") , USB 3.0, 5Gb/s, 76g, Negro";;https://www.dmi.es/photo/862/11607/3286612432866124/bg/carcasa-disco-duro-port-sata-usb-3-0-2-5--.jpg;https://www.dmi.es/photo/862/11607/3286612432866124/pq/carcasa-disco-duro-port-sata-usb-3-0-2-5--.jpg;https://www.dmi.es/photo/862/11607/3286612432866124/pq/carcasa-disco-duro-port-sata-usb-3-0-2-5--.jpg
HD33206094;https://www.dmi.es/photo/862/11609/3286612632866126/th/carcasa-disco-duro-port-sata-tipo-c-2-5-.jpg;0.10;21;0.00;;13.28;;"Discos duros internos";"Port Designs";"CARCASA DISCO DURO PORT SATA TIPO C 2,5'";https://www.dmi.es/ficha/HD33206094;28.00;900035;;"SATA 6.35 cm (2.5"") , USB 3.0, SSD, 5Gb/s, 82g, Negro";3567049000356;999952;862;"Carcasas HDD";HD33206094;900035;680.00;"SATA 6.35 cm (2.5"") , USB 3.0, SSD, 5Gb/s, 82g, Negro";;https://www.dmi.es/photo/862/11609/3286612632866126/bg/carcasa-disco-duro-port-sata-tipo-c-2-5-.jpg;https://www.dmi.es/photo/862/11609/3286612632866126/pq/carcasa-disco-duro-port-sata-tipo-c-2-5-.jpg;https://www.dmi.es/photo/862/11609/3286612632866126/pq/carcasa-disco-duro-port-sata-tipo-c-2-5-.jpg
AC02206038;https://www.dmi.es/photo/943/11611/3061274030612740/th/filtro-privacidad-port-2d-13-3---16-9-294x166mm.jpg;0.01;21;0.00;;28.15;;Periféricos;"Port Designs";"FILTRO PRIVACIDAD PORT 2D 13,3'' 16/9 294x166MM";https://www.dmi.es/ficha/AC02206038;11.00;900001;;"Filtro de confidencialidad profesional 2D 13.3""";3567049000011;999996;943;"Filtros para Monitor";AC02206038;900001;89.70;"Filtro de confidencialidad profesional 2D 13.3""";;https://www.dmi.es/photo/943/11611/3061274030612740/bg/filtro-privacidad-port-2d-13-3---16-9-294x166mm.jpg;https://www.dmi.es/photo/943/11611/3061274030612740/pq/filtro-privacidad-port-2d-13-3---16-9-294x166mm.jpg;https://www.dmi.es/photo/943/11611/3061274030612740/pq/filtro-privacidad-port-2d-13-3---16-9-294x166mm.jpg
AC02206040;https://www.dmi.es/photo/943/11613/3061273630612736/th/filtro-privacidad-port-2d-15--16-9-331x207mm.jpg;0.01;21;0.00;;37.72;;Periféricos;"Port Designs";"FILTRO PRIVACIDAD PORT 2D 15"" 16/9 331x207MM";https://www.dmi.es/ficha/AC02206040;11.00;900005;;"Filtro de confidencialidad profesional 2D 15.6""";3567049000059;999996;943;"Filtros para Monitor";AC02206040;900005;8.97;"Filtro de confidencialidad profesional 2D 15.6""";;https://www.dmi.es/photo/943/11613/3061273630612736/bg/filtro-privacidad-port-2d-15--16-9-331x207mm.jpg;https://www.dmi.es/photo/943/11613/3061273630612736/pq/filtro-privacidad-port-2d-15--16-9-331x207mm.jpg;https://www.dmi.es/photo/943/11613/3061273630612736/pq/filtro-privacidad-port-2d-15--16-9-331x207mm.jpg
AC02206041;https://www.dmi.es/photo/943/11614/3061273530612735/th/filtro-privacidad-port-2d-15--16-10-344-5x193-5mm.jpg;0.10;21;0.00;;39.84;;Periféricos;"Port Designs";"FILTRO PRIVACIDAD PORT 2D 15"" 16/10 344,5x193,5MM";https://www.dmi.es/ficha/AC02206041;6.00;900006;;"Filtro de confidencialidad profesional 2D 15.6""";3567049000066;999996;943;"Filtros para Monitor";AC02206041;900006;89.70;"Filtro de confidencialidad profesional 2D 15.6""";;https://www.dmi.es/photo/943/11614/3061273530612735/bg/filtro-privacidad-port-2d-15--16-10-344-5x193-5mm.jpg;https://www.dmi.es/photo/943/11614/3061273530612735/pq/filtro-privacidad-port-2d-15--16-10-344-5x193-5mm.jpg;https://www.dmi.es/photo/943/11614/3061273530612735/pq/filtro-privacidad-port-2d-15--16-10-344-5x193-5mm.jpg
GA01206092;https://www.dmi.es/photo/195/11617/3286606132866061/th/raton-gaming-port-arokh-3500dpi-negro-rosa.jpg;0.10;21;0.00;;23.91;;Periféricos;"Port Designs";"RATON GAMING PORT AROKH 3500DPI NEGRO/ROSA";https://www.dmi.es/ficha/GA01206092;26.00;901404;;;3567049014049;999996;195;Ratones;GA01206092;901404;2016.00;;;https://www.dmi.es/photo/195/11617/3286606132866061/bg/raton-gaming-port-arokh-3500dpi-negro-rosa.jpg;https://www.dmi.es/photo/195/11617/3286606132866061/pq/raton-gaming-port-arokh-3500dpi-negro-rosa.jpg;https://www.dmi.es/photo/195/11617/3286606132866061/pq/raton-gaming-port-arokh-3500dpi-negro-rosa.jpg
GA90206062;https://www.dmi.es/photo/1291/11618/3286614332866143/th/funda-raton-gaming-port-arokh-negro-verde.jpg;0.01;21;0.00;;6.91;;Periféricos;"Port Designs";"FUNDA RATON GAMING PORT AROKH NEGRO/VERDE";https://www.dmi.es/ficha/GA90206062;91.00;901700;;;3567049017002;999996;1291;"Fundas para Teclado y Auriculares";GA90206062;901700;968.00;;;https://www.dmi.es/photo/1291/11618/3286614332866143/bg/funda-raton-gaming-port-arokh-negro-verde.jpg;https://www.dmi.es/photo/1291/11618/3286614332866143/pq/funda-raton-gaming-port-arokh-negro-verde.jpg;https://www.dmi.es/photo/1291/11618/3286614332866143/pq/funda-raton-gaming-port-arokh-negro-verde.jpg
GA90206063;https://www.dmi.es/photo/1291/11619/3286613532866135/th/funda-auriculares-gaming-port-arokh-negro-verde.jpg;0.10;21;0.00;;10.62;;Periféricos;"Port Designs";"FUNDA AURICULARES GAMING PORT AROKH NEGRO/VERDE";https://www.dmi.es/ficha/GA90206063;99.00;901701;;;3567049017019;999996;1291;"Fundas para Teclado y Auriculares";GA90206063;901701;2926.00;;;https://www.dmi.es/photo/1291/11619/3286613532866135/bg/funda-auriculares-gaming-port-arokh-negro-verde.jpg;https://www.dmi.es/photo/1291/11619/3286613532866135/pq/funda-auriculares-gaming-port-arokh-negro-verde.jpg;https://www.dmi.es/photo/1291/11619/3286613532866135/pq/funda-auriculares-gaming-port-arokh-negro-verde.jpg
GA90206064;https://www.dmi.es/photo/1291/11620/3286613432866134/th/funda-raton-gaming-port-arokh-negro-rosa.jpg;0.10;21;0.00;;6.91;;Periféricos;"Port Designs";"FUNDA RATON GAMING PORT AROKH NEGRO/ROSA";https://www.dmi.es/ficha/GA90206064;100.00;901705;;;3567049017057;999996;1291;"Fundas para Teclado y Auriculares";GA90206064;901705;924.00;;;https://www.dmi.es/photo/1291/11620/3286613432866134/bg/funda-raton-gaming-port-arokh-negro-rosa.jpg;https://www.dmi.es/photo/1291/11620/3286613432866134/pq/funda-raton-gaming-port-arokh-negro-rosa.jpg;https://www.dmi.es/photo/1291/11620/3286613432866134/pq/funda-raton-gaming-port-arokh-negro-rosa.jpg
GA90206065;https://www.dmi.es/photo/1291/11621/3286612932866129/th/funda-auriculares-gaming-port-arokh-negro-rosa.jpg;0.10;21;0.00;;10.62;;Periféricos;"Port Designs";"FUNDA AURICULARES GAMING PORT AROKH NEGRO/ROSA";https://www.dmi.es/ficha/GA90206065;100.00;901706;;;3567049017064;999996;1291;"Fundas para Teclado y Auriculares";GA90206065;901706;3420.00;;;https://www.dmi.es/photo/1291/11621/3286612932866129/bg/funda-auriculares-gaming-port-arokh-negro-rosa.jpg;https://www.dmi.es/photo/1291/11621/3286612932866129/pq/funda-auriculares-gaming-port-arokh-negro-rosa.jpg;https://www.dmi.es/photo/1291/11621/3286612932866129/pq/funda-auriculares-gaming-port-arokh-negro-rosa.jpg
GA90206066;https://www.dmi.es/photo/1291/11622/3286613032866130/th/mochila-gaming-arokh-bp-2-kb-gn.jpg;1.00;21;0.00;;31.87;;Periféricos;"Port Designs";"MOCHILA GAMING AROKH BP-2 KB-GN";https://www.dmi.es/ficha/GA90206066;1.00;901703;;;3567049017033;999996;1291;"Fundas para Teclado y Auriculares";GA90206066;901703;20280.00;;;https://www.dmi.es/photo/1291/11622/3286613032866130/bg/mochila-gaming-arokh-bp-2-kb-gn.jpg;https://www.dmi.es/photo/1291/11622/3286613032866130/pq/mochila-gaming-arokh-bp-2-kb-gn.jpg;https://www.dmi.es/photo/1291/11622/3286613032866130/pq/mochila-gaming-arokh-bp-2-kb-gn.jpg
GA90206067;https://www.dmi.es/photo/1291/11623/3541436635414366/th/mochila-gaming-port-arokh.jpg;0.00;21;0.00;;31.87;;Periféricos;"Port Designs";"MOCHILA GAMING PORT AROKH";https://www.dmi.es/ficha/GA90206067;22.00;901707;;;3567049017071;999996;1291;"Fundas para Teclado y Auriculares";GA90206067;901707;16900.00;;;https://www.dmi.es/photo/1291/11623/3541436635414366/bg/mochila-gaming-port-arokh.jpg;https://www.dmi.es/photo/1291/11623/3541436635414366/pq/mochila-gaming-port-arokh.jpg;https://www.dmi.es/photo/1291/11623/3541436635414366/pq/mochila-gaming-port-arokh.jpg
CJ11231354;https://www.dmi.es/photo/237/11630/3454240734542407/th/caja-coo-pct300u3-bz-micro-atx-2x-usb-3-0-c-fte.jpg;2.00;21;0.00;;36.85;;"Cajas y fuentes";CoolBox;"CAJA COO-PCT300U3-BZ MICRO ATX 2x USB 3.0 C/FTE";https://www.dmi.es/ficha/CJ11231354;0.00;COO-PCT300U3-BZ;;"MicroATX, 1x5.63.5 cm (25"") , 1x3.12.7 cm (5"") , 1x2.5""/3.12.7 cm (5"") , 2xUSB 3.0, Negro";8436556145117;999993;237;"Chasis PC";CJ11231354;COO-PCT300U3-BZ;26640.00;"MicroATX, 1x5.63.5 cm (25"") , 1x3.12.7 cm (5"") , 1x2.5""/3.12.7 cm (5"") , 2xUSB 3.0, Negro";;https://www.dmi.es/photo/237/11630/3454240734542407/bg/caja-coo-pct300u3-bz-micro-atx-2x-usb-3-0-c-fte.jpg;https://www.dmi.es/photo/237/11630/3454240734542407/pq/caja-coo-pct300u3-bz-micro-atx-2x-usb-3-0-c-fte.jpg;https://www.dmi.es/photo/237/11630/3454240734542407/pq/caja-coo-pct300u3-bz-micro-atx-2x-usb-3-0-c-fte.jpg
TG21154509;https://www.dmi.es/photo/170/11636/3347010233470102/th/tarjeta-grafica-gigabyte-gtx-1050-ti-windforce-oc-4g.jpg;0.20;21;0.00;;150.34;;Tarjetas;Gigabyte;"TARJETA GRÁFICA GIGABYTE GTX 1050 TI WINDFORCE OC 4G";https://www.dmi.es/ficha/TG21154509;50.00;GV-N105TWF2OC-4GD;;;4719331339272;999990;170;"Tarjetas Gráficas";TG21154509;GV-N105TWF2OC-4GD;4752.00;;;https://www.dmi.es/photo/170/11636/3347010233470102/bg/tarjeta-grafica-gigabyte-gtx-1050-ti-windforce-oc-4g.jpg;https://www.dmi.es/photo/170/11636/3347010233470102/pq/tarjeta-grafica-gigabyte-gtx-1050-ti-windforce-oc-4g.jpg;https://www.dmi.es/photo/170/11636/3347010233470102/pq/tarjeta-grafica-gigabyte-gtx-1050-ti-windforce-oc-4g.jpg
TG21154510;https://www.dmi.es/photo/170/11637/3348012333480123/th/tarjeta-grafica-gigabyte-gtx-1050-ti-gaming-g1-4gb.jpg;0.20;21;0.00;;149.00;;Tarjetas;Gigabyte;"TARJETA GRÁFICA GIGABYTE GTX 1050 TI GAMING G1 4GB";https://www.dmi.es/ficha/TG21154510;3.00;"GV-N105TG1 GAMING-4GD";;;4719331339241;999990;170;"Tarjetas Gráficas";TG21154510;"GV-N105TG1 GAMING-4GD";4752.00;;;https://www.dmi.es/photo/170/11637/3348012333480123/bg/tarjeta-grafica-gigabyte-gtx-1050-ti-gaming-g1-4gb.jpg;https://www.dmi.es/photo/170/11637/3348012333480123/pq/tarjeta-grafica-gigabyte-gtx-1050-ti-gaming-g1-4gb.jpg;https://www.dmi.es/photo/170/11637/3348012333480123/pq/tarjeta-grafica-gigabyte-gtx-1050-ti-gaming-g1-4gb.jpg
TG21154511;https://www.dmi.es/photo/170/11638/3347010033470100/th/tarjeta-grafica-gigabyte-gtx-1050-ti-oc-4g.jpg;0.20;21;0.00;;141.95;;Tarjetas;Gigabyte;"TARJETA GRÁFICA GIGABYTE GTX 1050 TI OC 4G";https://www.dmi.es/ficha/TG21154511;0.00;GV-N105TOC-4GD;;;4719331339289;999990;170;"Tarjetas Gráficas";TG21154511;GV-N105TOC-4GD;3150.00;;;https://www.dmi.es/photo/170/11638/3347010033470100/bg/tarjeta-grafica-gigabyte-gtx-1050-ti-oc-4g.jpg;https://www.dmi.es/photo/170/11638/3347010033470100/pq/tarjeta-grafica-gigabyte-gtx-1050-ti-oc-4g.jpg;https://www.dmi.es/photo/170/11638/3347010033470100/pq/tarjeta-grafica-gigabyte-gtx-1050-ti-oc-4g.jpg
